0x680, Time,74, Relay State 1, 0x10, Relay State 2, 0x41, Failsafe Status 1, 0x0
0x251, Time,6314, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6334, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6354, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6374, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6394, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6414, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6434, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6454, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6474, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6494, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6514, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6636, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6654, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6674, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6694, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6714, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6734, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6754, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6774, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6794, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6814, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6834, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6854, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6874, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,6994, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7014, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7034, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7054, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7074, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7094, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7114, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7134, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7154, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7174, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7194, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7214, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7340, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7354, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7374, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7394, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7414, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7434, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7454, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7474, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,7494, Controller Temp,360, Motor Temp,389, Fault Code,2
